epoch,loss,accuracy,recall,precision,f1
1,1.6274882045745849,39.09,0.3909,0.38538510891560296,0.3872573661078799
2,1.280924483013153,53.5725,0.535725,0.5291523747377941,0.5315765339745167
3,1.0947646739959718,60.755,0.60755,0.6040578114749996,0.6053539893595812
4,0.9846307886123657,64.48,0.6448,0.6420088106318363,0.6431469599571114
5,0.9111369595527649,67.385,0.6738500000000001,0.6720137722998125,0.6727421147172656
6,0.8433030477046967,69.94,0.6994,0.6979290438413234,0.6985046169374494
7,0.7973295677185058,71.595,0.7159500000000001,0.7145770977481292,0.7151291801020287
8,0.7452463288784027,73.6975,0.7369749999999999,0.7358845726519954,0.736333979408215
9,0.7165470476150513,74.5275,0.7452749999999999,0.7441959311468237,0.7446231520794213
10,0.6720475336551667,76.3125,0.7631249999999999,0.7624555221068935,0.7626560792420162
11,0.6433353536605835,77.29,0.7729,0.7719167170927391,0.772292504373328
12,0.6166071858882904,78.3375,0.783375,0.7828101657515913,0.7829837834204514
13,0.5926788597583771,79.045,0.79045,0.7898821891471732,0.7900772484434093
14,0.5604214378356933,80.3525,0.8035249999999999,0.8030932908504267,0.8032591206422278
15,0.5508407144784927,80.3625,0.803625,0.8030178721142093,0.8032483962118396
16,0.5233279459476471,81.445,0.8144500000000001,0.8140783163965853,0.8142038276914713
17,0.5049817628622055,82.2125,0.822125,0.8217498669769562,0.8218685427414586
18,0.4828392827749252,83.1625,0.8316250000000001,0.8311452059634112,0.8313435940303207
19,0.4720317787885666,83.575,0.83575,0.8353456814952251,0.8354768645702441
20,0.4590531490802765,83.9275,0.8392750000000001,0.8390648996970758,0.8390899832188886
